strain,stress
0.00,0.00
0.01,0.629
0.02,1.427
0.03,2.23
0.04,3.037
0.05,3.846
0.06,4.657
0.07,5.467
0.08,6.277
0.09,7.084
0.1,7.888
0.11,8.687
0.12,9.48
0.13,10.267
0.14,11.046
0.15,11.817
0.16,12.579
0.17,13.33
0.18,14.071
0.19,14.799
0.2,15.516
0.21,16.219
0.22,16.908
0.23,17.583
0.24,18.243
0.25,18.887
0.26,19.516
0.27,20.129
0.28,20.724
0.29,21.303
0.3,21.864
0.31,22.408
0.32,22.933
0.33,23.441
0.34,23.93
0.35,24.401
0.36,24.854
0.37,25.288
0.38,25.704
0.39,26.101
0.4,26.481
0.41,26.842
0.42,27.185
0.43,27.51
0.44,27.818
0.45,28.109
0.46,28.383
0.47,28.64
0.48,28.882
0.49,29.108
0.5,29.318
0.51,29.515
0.52,29.697
0.53,29.866
0.54,30.022
0.55,30.167
0.56,30.3
0.57,30.423
0.58,30.536
0.59,30.64
0.6,30.737
0.61,30.826
0.62,30.91
0.63,30.989
0.64,31.064
0.65,31.137
0.66,31.208
0.67,31.278
0.68,31.35
0.69,31.423
0.7,31.5
0.71,31.582
0.72,31.671
0.73,31.766
0.74,31.871
0.75,31.987
0.76,32.115
0.77,32.256
0.78,32.413
0.79,32.587
0.8,32.78
